Date,Property,Water,Elec.,Interest,Annual,Notes,Payment
Jul 2021,328 Elft Avenue,,,R15.10,"R12,325.31","Site evaluation: 1,385,000.00",
Aug 2021,328 Elft Avenue,,,,,"Missing invoice",
Sep 2021,328 Elft Avenue,,,,,"Missing invoice",
Oct 2021,328 Elft Avenue,R210.43,R413.34,,,
Nov 2021,328 Elft Avenue,R210.43,R152.66,R65.23,,,"Rented for: 2 years 7 months"
Dec 2021,328 Elft Avenue,R210.43,R304.57,R67.72,,,
Jan 2022,328 Elft Avenue,R210.43,R413.72,R73.43,,,
Feb 2022,328 Elft Avenue,R210.43,R303.95,,,R12498.70,
Mar 2022,328 Elft Avenue,R210.43,R328.45,,,
Apr 2022,328 Elft Avenue,R210.43,R345.14,,,
May 2022,328 Elft Avenue,R210.43,R300.66,R2.36,,,"Balance"
Jun 2022,328 Elft Avenue,,,,,"Missing invoice",
Jul 2022,328 Elft Avenue,R220.53,R283.83,R11.36,,"Site Evaluation: 1,385,000.00",
Jul 2022,328 Elft Avenue,R220.53,R283.83,R11.36,R15668.58,"Site evaluation: 1,385,000.00",
Aug 2022,328 Elft Avenue,R220.53,R473.54,R14.00,,,
Sep 2022,328 Elft Avenue,R220.53,R357.73,,,R20000.00,
Oct 2022,328 Elft Avenue,R220.53,R457.99,,,
Nov 2022,328 Elft Avenue,R220.53,R384.20,,,
Dec 2022,328 Elft Avenue,R220.53,R300.06,R1.20,,,
Jan 2023,328 Elft Avenue,R220.53,R521.15,R6.32,,,
Feb 2023,328 Elft Avenue,R220.53,R301.23,R13.58,,,
Mar 2023,328 Elft Avenue,R220.53,R364.88,R19.48,,,
Apr 2023,328 Elft Avenue,R220.53,R418.78,R25.46,,,
May 2023,328 Elft Avenue,R210.43,R396.37,,,,
Jun 2023,328 Elft Avenue,R220.53,R733.97,R6.04,,,
Jul 2023,328 Elft Avenue,R240.38,R453.03,R16.07,R18192.38,"Site Evaluation: 1,840,000.00",
Aug 2023,328 Elft Avenue,R240.38,R453.03,R0.51,,R21000.00,
Sep 2023,328 Elft Avenue,R240.38,R951.11,R1.85,,,
Oct 2023,328 Elft Avenue,R240.38,R434.68,R14.52,,,
Nov 2023,328 Elft Avenue,R240.38,R494.31,R21.70,,,
Dec 2023,328 Elft Avenue,R240.38,R520.19,R29.50,,,
Jan 2024,328 Elft Avenue,R240.38,R768.33,R37.59,,,
Feb 2024,328 Elft Avenue,R240.38,R483.43,R48.30,,,
Mar 2024,328 Elft Avenue,R240.38,R661.39,R55.99,,,
Apr 2024,328 Elft Avenue,R240.38,R595.01,,,"CHECK - R10,000 in TFR JNL",
May 2024,328 Elft Avenue,R240.38,R578.02,,,
Jun 2024,328 Elft Avenue,R240.38,R733.12,,,
Jul 2024,328 Elft Avenue,R254.57,R740.96,,R19501.22,"Site Evaluation: 1,840,000.00",R15000.00
Aug 2024,328 Elft Avenue,R254.57,R952.32,R10.57,,,
Sep 2024,328 Elft Avenue,R254.57,"R1,120.47",R22.84,,,
Oct 2024,328 Elft Avenue,R254.57,R702.47,R73.81,,,
Nov 2024,328 Elft Avenue,R272.58,R908.56,R82.09,,,
Dec 2024,328 Elft Avenue,R254.57,R766.72,,,"Doesn't seem like anyone checked the meter these 3 months",
Jan 2025,328 Elft Avenue,R254.57,R766.72,,,
Feb 2025,328 Elft Avenue,R254.57,R766.72,,,
Mar 2025,328 Elft Avenue,R254.57,R766.72,,,
Apr 2025,328 Elft Avenue,R254.57,"R1,090.11",,,
May 2025,328 Elft Avenue,R254.57,R789.70,,,
Jun 2025,328 Elft Avenue,R254.57,R590.49,R6.19,,,
Jul 2025,328 Elft Avenue,R265.52,R898.33,R14.47,R20661.26,,R30000.00
Aug 2025,328 Elft Avenue,R265.52,R997.93,,,
Sep 2025,328 Elft Avenue,R265.52,"R1,106.48",,R18000.00,
Oct 2025,328 Elft Avenue,R265.52,R972.31,,,
